3.8234 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
39.2818 	EXP 	fixation: autoDraw = True
40.2820 	EXP 	fixation: autoDraw = False
40.2820 	EXP 	grating: autoDraw = True
40.5819 	EXP 	grating: autoDraw = False
40.8051 	EXP 	New trial (rep=10, index=0): None
40.8083 	DATA 	Keypress: down
40.8182 	EXP 	fixation: autoDraw = False
40.8182 	EXP 	grating: autoDraw = False
40.8182 	EXP 	grating: ori = 1.0
40.8182 	EXP 	fixation: autoDraw = True
41.8158 	EXP 	grating: autoDraw = True
41.8320 	EXP 	fixation: autoDraw = False
42.1155 	EXP 	grating: autoDraw = False
48.7190 	DATA 	Keypress: down
48.7380 	EXP 	New trial (rep=11, index=0): None
48.7489 	EXP 	fixation: autoDraw = False
48.7489 	EXP 	grating: autoDraw = False
48.7489 	EXP 	grating: ori = 3.0
48.7489 	EXP 	fixation: autoDraw = True
49.7495 	EXP 	fixation: autoDraw = False
49.7495 	EXP 	grating: autoDraw = True
50.0492 	EXP 	grating: autoDraw = False
50.3390 	EXP 	New trial (rep=12, index=0): None
50.3426 	DATA 	Keypress: up
50.3494 	EXP 	fixation: autoDraw = False
50.3494 	EXP 	grating: autoDraw = False
50.3494 	EXP 	grating: ori = 0.0
50.3494 	EXP 	fixation: autoDraw = True
51.3492 	EXP 	fixation: autoDraw = False
51.3492 	EXP 	grating: autoDraw = True
51.6491 	EXP 	grating: autoDraw = False
52.0045 	EXP 	New trial (rep=13, index=0): None
52.0089 	DATA 	Keypress: up
52.0158 	EXP 	fixation: autoDraw = False
52.0158 	EXP 	grating: autoDraw = False
52.0158 	EXP 	grating: ori = 0.0
52.0158 	EXP 	fixation: autoDraw = True
53.0158 	EXP 	fixation: autoDraw = False
53.0158 	EXP 	grating: autoDraw = True
53.3157 	EXP 	grating: autoDraw = False
53.6062 	EXP 	New trial (rep=14, index=0): None
53.6101 	DATA 	Keypress: up
53.6156 	EXP 	fixation: autoDraw = False
53.6156 	EXP 	grating: autoDraw = False
53.6156 	EXP 	grating: ori = -3.0
53.6156 	EXP 	fixation: autoDraw = True
54.6160 	EXP 	fixation: autoDraw = False
54.6160 	EXP 	grating: autoDraw = True
54.9157 	EXP 	grating: autoDraw = False
55.1383 	EXP 	New trial (rep=15, index=0): None
55.1422 	DATA 	Keypress: up
55.1492 	EXP 	fixation: autoDraw = False
55.1492 	EXP 	grating: autoDraw = False
55.1492 	EXP 	grating: ori = 4.0
55.1492 	EXP 	fixation: autoDraw = True
56.1492 	EXP 	fixation: autoDraw = False
56.1492 	EXP 	grating: autoDraw = True
56.4383 	EXP 	New trial (rep=16, index=0): None
56.4418 	DATA 	Keypress: down
56.4495 	EXP 	grating: autoDraw = False
56.4495 	EXP 	fixation: autoDraw = False
56.4495 	EXP 	grating: autoDraw = False
56.4495 	EXP 	grating: ori = -3.0
56.4495 	EXP 	fixation: autoDraw = True
57.4498 	EXP 	fixation: autoDraw = False
57.4498 	EXP 	grating: autoDraw = True
57.7493 	EXP 	grating: autoDraw = False
58.1247 	EXP 	New trial (rep=17, index=0): None
58.1290 	DATA 	Keypress: down
58.1325 	EXP 	fixation: autoDraw = False
58.1325 	EXP 	grating: autoDraw = False
58.1325 	EXP 	grating: ori = -2.0
58.1325 	EXP 	fixation: autoDraw = True
59.1333 	EXP 	fixation: autoDraw = False
59.1333 	EXP 	grating: autoDraw = True
59.4328 	EXP 	grating: autoDraw = False
59.5563 	EXP 	New trial (rep=18, index=0): None
59.5603 	DATA 	Keypress: down
59.5661 	EXP 	fixation: autoDraw = False
59.5661 	EXP 	grating: autoDraw = False
59.5661 	EXP 	grating: ori = 0.0
59.5661 	EXP 	fixation: autoDraw = True
60.5659 	EXP 	fixation: autoDraw = False
60.5659 	EXP 	grating: autoDraw = True
